"EventId","Station","SampleDate","SampleTime","Longitude","CHLA","DIN","DO","DOC","DON","DOP","FCOLI_C","FSS","KD","NH4F","NO23F","NO2F","NO3F","PC","PH","PHEO","PN","PO4F","PP","SALINITY","SECCHI","SIF","SIGMA_T","SPCOND","TDN","TDP","TN","TON","TP","TSS","TURB_NTU","VSS","WTEMP"
422921,"RET5.2","2016-07-06","11:00:00",-76.78219,16.2,0.012,6.85,4.1,0.22,0.006,25,17,2.5555,0.004,0.008,0.002,0.006,1.23,7.56,10.2,0.19,0.016,0.0404,0.13,0.4,0.3271,-3.30781,275,0.234,0.022,0.424,NA,0.0624,22,16.2,5,26.93
422922,"RET5.2","2016-08-02","11:00:00",-76.78219,8.37,0.061,5.98,3.77,0.229,0.005,25,29,2.7182,0.016,0.045,0.002,0.043,0.818,7.4,7.91,0.119,0.024,0.0578,2.57,0.5,0.8411,-2.59178,4836,0.29,0.029,NA,NA,0.0868,37,24,8,30.73
422963,"TF5.5","2016-07-12","12:30:00",-77.23283,45.4,0.153,9.81,3.4,0.212,0.008,25,9,2.6579,0.011,0.142,0.008,0.134,2.04,8.51,14.2,0.421,0.004,0.0422,NA,0.5,2.1495,NA,191,0.365,0.012,0.786,0.633,NA,16,9.25,7,30.35
422964,"TF5.5","2016-08-02","11:40:00",-77.23283,37.9,0.13,5.8,3.48,0.221,0.008,25,13,2.5018,0.046,0.084,0.008,0.076,1.84,7.45,21.3,0.303,0.002,0.0526,NA,0.6,2.1495,NA,268,0.351,0.01,0.654,0.524,NA,20,10.3,7,31.46
422965,"TF5.5","2016-09-07","12:05:00",-77.23283,32.2,0.082,7.32,3.94,0.264,0.008,75,20,3.5093,0.053,0.029,0.004,0.025,2.12,7.91,23.8,0.48,0.003,0.0574,NA,0.4,1.215,NA,292,0.346,0.011,0.826,0.744,NA,26,15.2,6,26.74
422966,"TF5.5A","2016-07-12","12:05:00",-77.1284,47,0.043,10.49,NA,0.23,0.006,25,11,NA,0.006,0.037,0.005,0.032,2.6,8.8,13.8,0.452,0.004,0.0498,NA,0.5,NA,NA,179,0.272,0.01,0.724,NA,NA,18,10.2,7,29.91
422967,"TF5.5A","2016-08-02","11:20:00",-77.1284,47.8,0.022,6.45,NA,0.25,0.01,25,11,NA,0.017,0.005,0.002,0.003,2.37,7.88,28.7,0.398,0.002,0.0666,NA,0.5,NA,NA,269,0.268,0.012,0.666,NA,NA,18,9.73,7,31.24
422968,"TF5.5A","2016-09-07","11:35:00",-77.1284,45.4,0.005,8.02,NA,0.25,0.011,25,30,NA,0.003,0.002,0.002,0,2.32,8.18,21.4,0.393,0.004,0.06,NA,0.4,NA,NA,292,0.259,0.015,0.652,0.6475,0.075,38,24.2,8,26.38
422969,"TF5.6","2016-07-12","11:30:00",-76.99057,28,0.057,8.68,NA,0.21,0.003,25,7,NA,0.008,0.049,0.005,0.044,1.24,7.95,10.7,0.219,0.004,0.0342,NA,0.7,NA,NA,180,0.264,0.007,NA,NA,NA,12,6.9,5,29.32
422970,"TF5.6","2016-08-02","10:55:00",-76.99057,29.6,0.0615,5.09,NA,0.229,0.02,25,8,NA,0.018,0.0435,0.008,0.0355,1.605,7.33,14.2,0.273,0.0065,0.0478,NA,0.7,NA,NA,232,0.2905,0.0265,NA,NA,0.0743,13,8.295,5,31.43
